Timestamp,RelativeTS,LogicData,Width(us)
2024-04-16 11:48:38.933944+00:00,6321112,0,99718
2024-04-16 11:48:38.933944+00:00,6420830,1,71
2024-04-16 11:48:38.933944+00:00,6420901,0,102848
2024-04-16 11:48:38.933944+00:00,6523749,1,71
2024-04-16 11:48:38.933944+00:00,6523820,0,103135
2024-04-16 11:48:38.933944+00:00,6626955,1,71
2024-04-16 11:48:38.933944+00:00,6627026,0,58614
2024-04-16 11:48:38.933944+00:00,6685640,1,4
2024-04-16 11:48:38.933944+00:00,6685644,0,47886
2024-04-16 11:48:38.933944+00:00,6733530,1,71
2024-04-16 11:48:38.933944+00:00,6733601,0,97493
2024-04-16 11:48:38.933944+00:00,6831094,1,71
2024-04-16 11:48:38.933944+00:00,6831165,0,102325
2024-04-16 11:48:38.933944+00:00,6933490,1,71
2024-04-16 11:48:38.933944+00:00,6933561,0,110436
2024-04-16 11:48:38.933944+00:00,7043997,1,76
2024-04-16 11:48:38.933944+00:00,7044073,0,92494
2024-04-16 11:48:38.933944+00:00,7136567,1,70
2024-04-16 11:48:38.933944+00:00,7136637,0,104316
2024-04-16 11:48:38.933944+00:00,7240953,1,71
2024-04-16 11:48:38.933944+00:00,7241024,0,110893
2024-04-16 11:48:38.933944+00:00,7351917,1,71
2024-04-16 11:48:38.933944+00:00,7351988,0,93310
2024-04-16 11:48:38.933944+00:00,7445298,1,71
2024-04-16 11:48:38.933944+00:00,7445369,0,60296
2024-04-16 11:48:38.933944+00:00,7505665,1,4
2024-04-16 11:48:38.933944+00:00,7505669,0,43721
2024-04-16 11:48:38.933944+00:00,7549390,1,70
2024-04-16 11:48:38.933944+00:00,7549460,0,102811
2024-04-16 11:48:38.933944+00:00,7652271,1,71
2024-04-16 11:48:38.933944+00:00,7652342,0,13948
2024-04-16 11:48:38.933944+00:00,7666290,1,3
2024-04-16 11:48:38.933944+00:00,7666293,0,84779
2024-04-16 11:48:38.933944+00:00,7751072,1,71
2024-04-16 11:48:38.933944+00:00,7751143,0,112602
2024-04-16 11:48:38.933944+00:00,7863745,1,71
2024-04-16 11:48:38.933944+00:00,7863816,0,94952
2024-04-16 11:48:38.933944+00:00,7958768,1,70
2024-04-16 11:48:38.933944+00:00,7958838,0,87477
2024-04-16 11:48:38.933944+00:00,8046315,1,3
2024-04-16 11:48:38.933944+00:00,8046317,0,12649
2024-04-16 11:48:38.933944+00:00,8058967,1,71
2024-04-16 11:48:38.933944+00:00,8059037,0,101595
2024-04-16 11:48:38.933944+00:00,8160633,1,71
2024-04-16 11:48:38.933944+00:00,8160704,0,104006
2024-04-16 11:48:38.933944+00:00,8264709,1,70
2024-04-16 11:48:38.933944+00:00,8264780,0,113367
2024-04-16 11:48:38.933944+00:00,8378147,1,71
2024-04-16 11:48:38.933944+00:00,8378218,0,90862
2024-04-16 11:48:38.933944+00:00,8469080,1,71
2024-04-16 11:48:38.933944+00:00,8469151,0,60943
2024-04-16 11:48:38.933944+00:00,8530094,1,4
2024-04-16 11:48:38.933944+00:00,8530098,0,41451
2024-04-16 11:48:38.933944+00:00,8571549,1,71
2024-04-16 11:48:38.933944+00:00,8571620,0,101894
2024-04-16 11:48:38.933944+00:00,8673514,1,71
2024-04-16 11:48:38.933944+00:00,8673585,0,60576
2024-04-16 11:48:38.933944+00:00,8734161,1,3
2024-04-16 11:48:38.933944+00:00,8734164,0,41710
2024-04-16 11:48:38.933944+00:00,8775874,1,71
2024-04-16 11:48:38.933944+00:00,8775945,0,104995
2024-04-16 11:48:38.933944+00:00,8880940,1,71
2024-04-16 11:48:38.933944+00:00,8881011,0,58332
2024-04-16 11:48:38.933944+00:00,8939343,1,4
2024-04-16 11:48:38.933944+00:00,8939347,0,41253
2024-04-16 11:48:38.933944+00:00,8980600,1,75
2024-04-16 11:48:38.933944+00:00,8980675,0,104824
2024-04-16 11:48:38.933944+00:00,9085499,1,70
2024-04-16 11:48:38.933944+00:00,9085569,0,68658
2024-04-16 11:48:38.933944+00:00,9154227,1,4
2024-04-16 11:48:38.933944+00:00,9154231,0,10555
2024-04-16 11:48:38.933944+00:00,9164786,1,3
2024-04-16 11:48:38.933944+00:00,9164789,0,24126
2024-04-16 11:48:38.933944+00:00,9188915,1,71
2024-04-16 11:48:38.933944+00:00,9188986,0,99416
2024-04-16 11:48:38.933944+00:00,9288402,1,71
2024-04-16 11:48:38.933944+00:00,9288473,0,119542
2024-04-16 11:48:38.933944+00:00,9408015,1,71
2024-04-16 11:48:38.933944+00:00,9408086,0,85988
2024-04-16 11:48:38.933944+00:00,9494074,1,70
2024-04-16 11:48:38.933944+00:00,9494144,0,100464
2024-04-16 11:48:38.933944+00:00,9594608,1,71
2024-04-16 11:48:38.933944+00:00,9594679,0,113189
2024-04-16 11:48:38.933944+00:00,9707868,1,70
2024-04-16 11:48:38.933944+00:00,9707938,0,72029
2024-04-16 11:48:38.933944+00:00,9779967,1,4
2024-04-16 11:48:38.933944+00:00,9779971,0,27381
2024-04-16 11:48:38.933944+00:00,9807352,1,71
2024-04-16 11:48:38.933944+00:00,9807423,0,95756
2024-04-16 11:48:38.933944+00:00,9903179,1,71
2024-04-16 11:48:38.933944+00:00,9903250,0,102215
2024-04-16 11:48:38.933944+00:00,10005465,1,71
2024-04-16 11:48:38.933944+00:00,10005536,0,101676
2024-04-16 11:48:38.933944+00:00,10107212,1,71
2024-04-16 11:48:38.933944+00:00,10107283,0,103245
2024-04-16 11:48:38.933944+00:00,10210528,1,71
2024-04-16 11:48:38.933944+00:00,10210599,0,102764
2024-04-16 11:48:38.933944+00:00,10313363,1,71
2024-04-16 11:48:38.933944+00:00,10313434,0,101044
2024-04-16 11:48:38.933944+00:00,10414478,1,71
2024-04-16 11:48:38.933944+00:00,10414549,0,126837
2024-04-16 11:48:38.933944+00:00,10541386,1,70
2024-04-16 11:48:38.933944+00:00,10541456,0,3056
2024-04-16 11:48:38.933944+00:00,10544512,1,3
2024-04-16 11:48:38.933944+00:00,10544515,0,57105
2024-04-16 11:48:38.933944+00:00,10601620,1,4
2024-04-16 11:48:38.933944+00:00,10601624,0,24288
2024-04-16 11:48:38.933944+00:00,10625912,1,71
2024-04-16 11:48:38.933944+00:00,10625983,0,102660
2024-04-16 11:48:38.933944+00:00,10728643,1,71
2024-04-16 11:48:38.933944+00:00,10728714,0,15729
2024-04-16 11:48:38.933944+00:00,10744443,1,3
2024-04-16 11:48:38.933944+00:00,10744446,0,78503
2024-04-16 11:48:38.933944+00:00,10822949,1,71
2024-04-16 11:48:38.933944+00:00,10823020,0,107517
2024-04-16 11:48:38.933944+00:00,10930537,1,71
2024-04-16 11:48:38.933944+00:00,10930608,0,98770
2024-04-16 11:48:38.933944+00:00,11029378,1,74
2024-04-16 11:48:38.933944+00:00,11029452,0,100600
2024-04-16 11:48:38.933944+00:00,11130052,1,71
2024-04-16 11:48:38.933944+00:00,11130123,0,110657
2024-04-16 11:48:38.933944+00:00,11240780,1,71
2024-04-16 11:48:38.933944+00:00,11240851,0,97573
2024-04-16 11:48:38.933944+00:00,11338424,1,75
2024-04-16 11:48:38.933944+00:00,11338499,0,102951
2024-04-16 11:48:38.933944+00:00,11441450,1,71
2024-04-16 11:48:38.933944+00:00,11441521,0,98861
2024-04-16 11:48:38.933944+00:00,11540382,1,71
2024-04-16 11:48:38.933944+00:00,11540453,0,101512
2024-04-16 11:48:38.933944+00:00,11641965,1,75
2024-04-16 11:48:38.933944+00:00,11642040,0,102420
2024-04-16 11:48:38.933944+00:00,11744460,1,71
2024-04-16 11:48:38.933944+00:00,11744531,0,102683
2024-04-16 11:48:38.933944+00:00,11847214,1,71
2024-04-16 11:48:38.933944+00:00,11847285,0,102945
2024-04-16 11:48:38.933944+00:00,11950230,1,71
2024-04-16 11:48:38.933944+00:00,11950301,0,103968
2024-04-16 11:48:38.933944+00:00,12054269,1,71
2024-04-16 11:48:38.933944+00:00,12054340,0,99760
2024-04-16 11:48:38.933944+00:00,12154100,1,71
2024-04-16 11:48:38.933944+00:00,12154171,0,102806
2024-04-16 11:48:38.933944+00:00,12256977,1,71
2024-04-16 11:48:38.933944+00:00,12257048,0,104669
2024-04-16 11:48:38.933944+00:00,12361717,1,71
2024-04-16 11:48:38.933944+00:00,12361788,0,111981
2024-04-16 11:48:38.933944+00:00,12473769,1,71
2024-04-16 11:48:38.933944+00:00,12473840,0,92791
2024-04-16 11:48:38.933944+00:00,12566631,1,71
2024-04-16 11:48:38.933944+00:00,12566702,0,100538
2024-04-16 11:48:38.933944+00:00,12667240,1,70
2024-04-16 11:48:38.933944+00:00,12667310,0,113043
2024-04-16 11:48:38.933944+00:00,12780353,1,71
2024-04-16 11:48:38.933944+00:00,12780424,0,90353
2024-04-16 11:48:38.933944+00:00,12870777,1,71
2024-04-16 11:48:38.933944+00:00,12870848,0,90682
2024-04-16 11:48:38.933944+00:00,12961530,1,3
2024-04-16 11:48:38.933944+00:00,12961533,0,12577
2024-04-16 11:48:38.933944+00:00,12974110,1,71
2024-04-16 11:48:38.933944+00:00,12974181,0,105471
2024-04-16 11:48:38.933944+00:00,13079652,1,76
2024-04-16 11:48:38.933944+00:00,13079728,0,57411
2024-04-16 11:48:38.933944+00:00,13137139,1,3
2024-04-16 11:48:38.933944+00:00,13137142,0,42851
2024-04-16 11:48:38.933944+00:00,13179993,1,70
2024-04-16 11:48:38.933944+00:00,13180063,0,101785
2024-04-16 11:48:38.933944+00:00,13281848,1,71
2024-04-16 11:48:38.933944+00:00,13281919,0,59413
2024-04-16 11:48:38.933944+00:00,13341332,1,3
2024-04-16 11:48:38.933944+00:00,13341335,0,43614
2024-04-16 11:48:38.933944+00:00,13384949,1,71
2024-04-16 11:48:38.933944+00:00,13385020,0,100177
2024-04-16 11:48:38.933944+00:00,13485197,1,71
2024-04-16 11:48:38.933944+00:00,13485268,0,103116
2024-04-16 11:48:38.933944+00:00,13588384,1,71
2024-04-16 11:48:38.933944+00:00,13588455,0,101523
2024-04-16 11:48:38.933944+00:00,13689978,1,71
2024-04-16 11:48:38.933944+00:00,13690049,0,103831
2024-04-16 11:48:38.933944+00:00,13793880,1,70
2024-04-16 11:48:38.933944+00:00,13793950,0,102956
2024-04-16 11:48:38.933944+00:00,13896906,1,71
2024-04-16 11:48:38.933944+00:00,13896977,0,101144
2024-04-16 11:48:38.933944+00:00,13998121,1,70
