Timestamp,RelativeTS,LogicData,Width_in_us
2024-03-26 13:31:18.226661+00:00,0,0,278469
2024-03-26 13:31:18.226661+00:00,278469,1,5118
2024-03-26 13:31:18.226661+00:00,283587,0,1018834
2024-03-26 13:31:18.226661+00:00,1302421,1,10123
2024-03-26 13:31:18.226661+00:00,1312544,0,3513
2024-03-26 13:31:18.226661+00:00,1316057,1,430
2024-03-26 13:31:18.226661+00:00,1316487,0,1009916
2024-03-26 13:31:18.226661+00:00,2326403,1,17313
2024-03-26 13:31:18.226661+00:00,2343716,0,1001787
2024-03-26 13:31:18.226661+00:00,3345504,1,13034
2024-03-26 13:31:18.226661+00:00,3358538,0,1015951
2024-03-26 13:31:18.226661+00:00,4374489,1,13645
2024-03-26 13:31:18.226661+00:00,4388134,0,1010305
2024-03-26 13:31:18.226661+00:00,5398440,1,7934
2024-03-26 13:31:18.226661+00:00,5406375,0,1010999
2024-03-26 13:31:18.226661+00:00,6417374,1,12663
2024-03-26 13:31:18.226661+00:00,6430037,0,1016337
2024-03-26 13:31:18.226661+00:00,7446374,1,9724
2024-03-26 13:31:18.226661+00:00,7456098,0,4816
2024-03-26 13:31:18.226661+00:00,7460914,1,2640
2024-03-26 13:31:18.226661+00:00,7463554,0,1006985
2024-03-26 13:31:18.226661+00:00,8470539,1,7669
2024-03-26 13:31:18.226661+00:00,8478208,0,1016281
2024-03-26 13:31:18.226661+00:00,9494490,1,64862
2024-03-26 13:31:18.226661+00:00,9559352,0,7085
2024-03-26 13:31:18.226661+00:00,9566437,1,21920
2024-03-26 13:31:18.226661+00:00,9588357,0,930085
2024-03-26 13:31:18.226661+00:00,10518442,1,6011
2024-03-26 13:31:18.226661+00:00,10524453,0,1017940
2024-03-26 13:31:18.226661+00:00,11542393,1,25649
2024-03-26 13:31:18.226661+00:00,11568042,0,651
2024-03-26 13:31:18.226661+00:00,11568693,1,749
2024-03-26 13:31:18.226661+00:00,11569442,0,773
2024-03-26 13:31:18.226661+00:00,11570215,1,136943
2024-03-26 13:31:18.226661+00:00,11707158,0,3604
2024-03-26 13:31:18.226661+00:00,11710762,1,45856
2024-03-26 13:31:18.226661+00:00,11756618,0,809876
2024-03-26 13:31:18.226661+00:00,12566494,1,27775
2024-03-26 13:31:18.226661+00:00,12594269,0,69488
2024-03-26 13:31:18.226661+00:00,12663757,1,44074
2024-03-26 13:31:18.226661+00:00,12707831,0,3111
2024-03-26 13:31:18.226661+00:00,12710942,1,101107
2024-03-26 13:31:18.226661+00:00,12812049,0,3640
2024-03-26 13:31:18.226661+00:00,12815689,1,11539
2024-03-26 13:31:18.226661+00:00,12827228,0,865638
2024-03-26 13:31:18.226661+00:00,13692866,1,11572
2024-03-26 13:31:18.226661+00:00,13704438,0,6329
2024-03-26 13:31:18.226661+00:00,13710767,1,104035
2024-03-26 13:31:18.226661+00:00,13814802,0,491
